number,substituent,σm,σp,F,R,References
293,,0.10,(-0.45),0.34,(-0.79),183
294,,0.10,-0.25,0.26,-0.51,183
295,,-0.12,-0.17,-0.06,4.11,"74,102"
296,,0.06,-0.14,0.17,-0.31,92
297,,0.23,0.07,0.30,-0.23,74
298,,0.00,0.01,0.03,-0.02,74
299,,0.00,0.00,0.03,-0.03,74
300,,0.88,0.82,0.86,-0.04,183
301,,0.40,0.43,0.39,0.04,74
302,,0.04,-0.02,0.09,-0.11,74
303,,0.13,-0.27,0.31,-0.58,74
304,,0.04,0.10,0.05,0.05,74
305,,0.09,0.13,0.10,0.03,74
306,,0.74,0.73,0.71,0.02,"123, 122"
307,,-0.04,-0.07,0.01,-0.08,183
308,,0.00,0.00,0.03,-0.03,"74, 183"
309,,0.50,0.65,0.43,0.22,111
310,,0.00,0.01,0.03,-0.02,67
311,,0.12,0.12,0.14,-0.02,67
312,,0.86,0.85,0.82,0.03,111
313,,0.38,0.49,0.34,0.15,111
314,,1.28,1.34,1.18,0.16,110
315,,0.48,0.53,0.45,0.08,109
316,,0.63,0.79,0.55,0.24,110
317,,0.55,0.55,0.53,0.02,76
318,,0.47,0.52,0.44,0.08,172
319,,0.96,1.13,0.84,0.29,76
320,,0.51,0.58,0.47,0.11,76
321,,0.51,0.53,0.49,0.04,74
322,,0.49,0.54,0.46,0.08,76
323,,0.97,0.96,0.92,0.04,165
324,,0.36,0.37,0.36,0.01,109
325,,0.66,0.84,0.57,0.27,93
326,,0.15,0.00,0.23,-0.23,"94,95"
327,,0.33,0.27,0.36,-0.09,108
328,,0.47,0.46,0.47,-0.01,108
329,,0.28,0.48,0.21,0.27,61
330,,0.04,0.04,0.07,-0.03,183
331,,0.60,0.57,0.59,-0.02,74
332,,0.30,0.63,0.18,0.45,277
333,,0.23,0.53,0.13,0.40,277
334,,0.28,0.39,0.25,0.14,277
335,,0.06,0.02,0.10,-0.08,114
336,,0.09,0.05,0.13,-0.08,159
337,,0.03,-0.02,0.08,-0.10,159
338,,0.06,0.04,0.10,-0.06,84
339,,0.06,0.03,0.10,-0.07,84
340,,0.47,0.37,0.50,-0.13,93
341,,0.34,0.31,0.36,-0.05,108
342,,0.21,-0.01,0.31,-0.32,155
343,,0.85,0.88,0.80,0.08,110
344,,0.35,0.33,0.36,-0.03,74
345,,-0.05,-0.14,0.02,-0.16,85
346,,0.38,0.47,0.35,0.12,"74,119"
347,,-0.48,-0.48,-0.40,-0.08,87
348,,0.11,-0.10,0.21,-0.31,156
349,,-0.10,-0.20,-0.02,-0.18,183
350,,-0.08,-0.12,-0.02,-0.10,"74,87"
351,,-0.07,-0.12,-0.01,-0.11,"176,87"
352,,-0.08,-0.16,-0.01,+.15,"174, 87"
353,,0.10,-0.32,0.29,-0.61,183
354,,-0.16,-0.17,-0.11,-0.06,"74,102"
355,,-0.03,-0.04,0.01,-0.05,74
356,,0.22,0.00,0.32,-0.32,77
357,,0.57,0.44,0.60,-0.16,77
358,,0.52,0.44,0.54,-0.10,77
359,,-0.34,-0.51,-0.21,-0.30,"87,85"
360,,-0.23,-0.72,0.01,-0.73,"113,82"
361,,0.37,0.47,0.33,0.14,79
362,,(0.16),0.74,(-0.05),(0.79),72
363,,0.55,0.60,0.52,0.08,143
364,,0.10,0.13,0.11,0.02,124
365,,0.39,0.46,0.36,0.10,79
366,,0.40,0.44,0.38,0.06,74
367,,0.24,0.14,0.29,-0.15,74
368,,-0.04,-0.05,0.00,-0.05,74
369,,-0.16,-0.21,-0.09,-0.12,183
370,,0.30,0.40,0.27,0.13,78
371,,0.18,0.25,0.17,0.08,164
372,,0.40,0.63,0.31,0.32,111
373,,0.70,0.74,0.66,0.08,111
374,,0.10,0.11,0.12,-0.01,67
375,,0.77,0.98,0.65,0.33,"74, 165"
376,,0.25,0.10,0.32,-0.22,"94,95"
377,,0.22,-0.05,0.34,-0.39,"94,95"
378,,0.33,0.17,0.40,-0.23,93
379,,0.23,0.25,0.24,0.01,71
380,,0.27,0.44,0.21,0.23,71
381,,0.25,0.39,0.21,0.18,121
382,,-0.06,-0.05,-0.03,-0.02,127
383,,0.19,0.03,0.27,-0.24,155
384,,-0.05,-0.14,0.02,-0.16,85
385,,0.27,0.32,0.26,0.06,"74,119"
386,,0.06,-0.05,0.13,-0.18,126
387,,-0.06,-0.18,0.03,-0.21,85
388,,-0.05,-0.17,0.03,-0.14,85
389,,-0.08,-0.15,-0.01,-0.14,174
390,,0.10,(-0.34),0.29,(-0.63),183
391,,0.12,0.06,0.17,-0.11,85
392,,0.16,0.13,0.19,-0.06,"74,189"
393,,-0.16,-0.17,-0.11,-0.06,"74, 132"
394,,0.00,-0.01,0.04,-0.05,160
395,,0.25,0.24,0.27,-0.03,151
396,,0.26,0.27,0.27,0.00,151
397,,0.95,1.10,0.84,0.26,64
398,,0.66,0.56,0.67,-0.11,64
399,,0.28,0.18,0.33,-0.15,64
400,,-0.53,-0.68,-0.39,-0.29,150
401,,-0.14,-0.44,0.02,-0.46,150
402,,0.26,0.30,0.26,0.04,170
403,,0.09,0.08,0.12,-0.04,161
404,,0.15,0.12,0.18,-0.06,85
405,,0.15,0.10,0.19,-0.09,85
406,,0.15,0.12,0.18,-0.06,85
407,,0.15,0.10,0.19,-0.09,85
408,,0.12,0.06,0.17,-0.11,85
409,,-0.08,-0.10,-0.03,-0.07,106
410,,0.13,0.06,0.18,-0.12,85
411,,0.14,0.10,0.18,-0.08,85
412,,0.21,0.20,0.23,-0.03,85
413,,0.25,0.26,0.26,0.00,85
414,,0.32,0.24,0.36,-0.12,85
415,,0.58,0.60,0.55,0.05,85
416,,0.49,0.51,0.47,0.04,74
417,,0.06,-0.01,0.12,-0.13,183
