number,substituent
316,COCF_2_CF_2_CF_3
317,C(CF_3)_3
318,(CF_2)_3CF_3
319,SO_2_C(CF_3)_3
320,SC(CF_3)_3
321,C(SCF_3)_3
322,SeC(CF_3)_3
323,C(CN)_3
324,cyclo-1-(OH)C_4_F_6
325,CH=C(CN)_2
326,2-(5-bromofuryl)
327,
328,"3-chloro-1-pyrroline-2,5-dione"
329,3-pyridazinyl
330,"3,4-CH=CHCH=CH-"
331,C(Me)(CN)_2
332,4-pyrimidinyl
333,2-pyrimidinyl
334,5-pyrimidinyl
335,2-furyl
336,2-thienyl
337,3-thienyl
338,2-selenienyl
339,2-tellurienyl
340,1-pyrryl
341,"1-pyrroline-2,5-dione"
342,CH=CHCOMe
343,I(OCOMe)_2
344,N(COMe)_2
345,cyclobutyl
346,COCHMe_2
347,(CH_2)_4
348,NHCOCH(Me)_2
349,C(Me)_3
350,CH(Me)Et
351,CH_2_CH(Me)_2
352,(CH_2)_3_CH_3
353,O(CH_2)_3CH_3
354,CH_2_C(OH)Me_2
355,C(OMe)_3
356,AsEt_2
357,As(O)Et_2
358,As(S)Et_2
359,NH(CH_2)_3_CH_3
360,N(Et)_2
361,PO(Et)_2
362,N=NPO(OEt)_2
363,PO(OEt)_2
364,P(Et)_2
365,P(S)Et_2
366,CH_2_N(Me)_3+
367,CH_2_CH_2_NH(Me)_2+
368,CH_2_OSi(CH_3)_3
369,CH_2_Si(Me)_3
370,PO(N(Me)_2)_2
371,P(N(Me)_2)_2
372,2-(methylcarbonyl)carboran-1-yl
373,2[(carbonyloxy)methyl]carboran-1-yl
374,"CH_2_-1-(1,2-(BH)_10_-C_2_Me)"
375,C(CN)=C(CN)_2
376,2-(5-cyanofuryl)
377,2-(5-cormylfuryl)
378,2-pyridyl
379,3-pyridyl
380,4-pyridyl
381,"2-(4,6-dimethyl-s-triazinyl)"
382,1-cyclopentenyl
383,CH=CHCOOEt
384,cyclopentyl
385,COC(Me)_3
386,NHCO_2_(CH_2)_3CH_3
387,C(Et)(Me)_2
388,CH_2_C(Me)_3
389,(CH_2)_4_CH_3
390,O(CH_2)_4_CH_3
391,CH_2_PO(OEt)_2
392,CH_2_CH_2_N(Me)_3+
393,CH_2_CH_2_Si(Me)_3
394,Si(Me)_2_OSi(Me)_3
395,C_6_Cl_5
396,C_6_F5
397,P(O)(C_3_F_7)_2
398,OP(O)(C_3_F_7)_2
399,NHP(O)(C_3F_7)_2
400,CH__Co(CN)_5_^3-
401,CH_2_Mn(CO)_5
402,"C_6_H_2-2,4,6-(NO_2)_3"
